UKPRN,HE Provider,"Managers, directors and senior officials",Professional occupations,Associate professional and technical occupations,Clerical and manual occupations,Total academic staff (excluding atypical)
10034324,Court Theatre Training Company Ltd*,0,0,0,0,0
10001726,Coventry University,5,"2,285",5,0,"2,295"
10007822,Cranfield University*,0,625,5,0,630
10006427,University for the Creative Arts*,0,235,50,0,285
10007842,University of Cumbria,0,335,0,0,335
10001883,De Montfort University,0,"1,220",0,0,"1,220"
10007851,University of Derby,0,"1,025",45,0,"1,070"
10007852,The University of Dundee,0,"1,305",5,0,"1,310"
10007143,University of Durham,0,"1,650",45,0,"1,695"
10007789,The University of East Anglia,0,"1,520",0,0,"1,520"
10007144,The University of East London,0,580,0,0,580
10032282,The Queen's Foundation for Ecumenical Theological Education*,0,15,0,0,15
10007823,Edge Hill University,0,725,0,0,730
10007772,Edinburgh Napier University,5,605,0,0,615
10007790,The University of Edinburgh,5,"4,720",10,0,"4,735"
10007791,The University of Essex,0,"1,040",5,0,"1,050"
10008173,University College of Estate Management*,0,55,0,0,60
10007792,The University of Exeter,5,"2,390",0,0,"2,395"
10008640,Falmouth University*,0,250,20,0,275
10004511,The National Film and Television School*,5,55,0,0,60
10022087,Futureworks*,0,20,0,0,20
10007762,Glasgow Caledonian University,0,695,0,0,695
10002681,Glasgow School of Art,0,95,60,0,155
10007794,The University of Glasgow,0,"3,255",15,0,"3,270"
10007145,University of Gloucestershire*,0,395,0,0,395
10007833,Glyndŵr University,0,165,0,0,165
10002718,Goldsmiths College,0,665,0,0,665
10007146,The University of Greenwich,5,805,0,0,810
10007825,Guildhall School of Music and Drama,20,170,10,0,195
10040812,Harper Adams University*,0,160,5,0,165
10080811,Hartpury University,0,70,5,0,75
10007764,Heriot-Watt University,0,775,10,0,785
10007147,University of Hertfordshire,0,"1,250",0,0,"1,250"
10007148,The University of Huddersfield*,0,870,0,0,870
10007149,The University of Hull,0,860,15,0,875
10003270,"Imperial College of Science, Technology and Medicine",5,"3,990",0,0,"3,995"
10035638,Institute of Contemporary Music Performance*,0,15,0,0,15
10007767,Keele University,0,680,10,0,690
10007150,The University of Kent,0,"1,170",0,0,"1,170"
10003645,King's College London,0,"4,205",10,0,"4,215"
10003678,Kingston University,5,775,30,0,810
10003758,LAMDA Limited,0,20,0,0,20
10007768,The University of Lancaster,5,"1,450",0,0,"1,455"
10003854,Leeds Arts University,0,130,5,0,135
10003861,Leeds Beckett University,0,940,0,0,940
10034449,Leeds Conservatoire,0,60,0,0,65
10007795,The University of Leeds,10,"3,415",5,0,"3,430"
10003863,Leeds Trinity University,0,135,0,0,135
10007796,The University of Leicester,0,"1,495",0,0,"1,500"
10007151,The University of Lincoln,0,"1,000",0,0,"1,000"
10003956,Liverpool Hope University*,0,260,0,0,265
10003957,Liverpool John Moores University,0,"1,320",45,0,"1,365"
10003945,The Liverpool Institute for Performing Arts*,0,50,0,0,50
10006842,The University of Liverpool,5,"2,695",10,0,"2,705"
10003958,Liverpool School of Tropical Medicine,0,225,0,0,225
10007162,"University of the Arts, London",0,"1,405",0,0,"1,405"
10013109,London Bridge Business Academy*,0,0,0,0,0
10007769,London Business School*,0,110,0,0,115
10007797,University of London (Institutes and activities)*,10,70,0,0,75
10004036,London Film School Limited*,0,20,10,0,30
10004048,London Metropolitan University,5,375,5,0,385
10004078,London South Bank University*,5,765,45,0,815
10004063,London School of Economics and Political Science,0,"1,195",0,0,"1,195"
10007771,London School of Hygiene and Tropical Medicine,0,875,0,0,875
10022285,London School of Management Education*,0,15,0,0,15
10004075,London School of Theology*,0,15,0,0,15
10008289,The London Institute of Banking & Finance*,0,15,0,0,15
10004113,Loughborough University,0,"1,385",40,0,"1,425"
10009612,Luther King House Educational Trust*,0,0,0,0,0
10004180,The Manchester Metropolitan University,0,"1,915",60,0,"1,975"
10007798,The University of Manchester,5,"4,635",0,0,"4,640"
10030776,St Mellitus College*,0,30,0,0,30
10004320,The Metanoia Institute*,0,20,0,0,20
10004351,Middlesex University,5,880,0,0,885
10023777,Mont Rose College of Management and Sciences*,0,30,0,0,30
10023454,Moorlands College*,0,10,0,0,10
10004538,Nazarene Theological College*,0,10,0,0,10
10030129,Nelson College London Ltd,0,5,0,0,5
10007799,Newcastle University,15,"2,710",15,0,"2,745"
10048199,New College of the Humanities*,0,40,0,0,45
10007832,Newman University,0,125,5,0,130
10007138,The University of Northampton,10,590,0,0,605
10001282,University of Northumbria at Newcastle,0,"1,480",0,0,"1,480"
10004775,Norwich University of the Arts*,0,150,0,0,150
10007154,University of Nottingham*,0,"3,320",10,0,"3,330"
10004797,The Nottingham Trent University*,0,"1,950",0,0,"1,950"
10007773,The Open University*,0,"2,300",0,0,"2,300"
10004930,Oxford Brookes University,5,950,25,0,980
10007774,The University of Oxford,0,"6,560",15,0,"6,570"
10042570,Pearson College*,0,30,0,0,30
10005127,Plymouth College of Art*,0,100,0,0,100
10007801,University of Plymouth,10,995,25,0,"1,025"
10007155,The University of Portsmouth,0,"1,370",10,0,"1,380"
10005337,"Queen Margaret University, Edinburgh",0,205,0,0,210
10007775,Queen Mary University of London,0,"2,340",15,0,"2,360"
10009292,Royal Academy of Dramatic Art*,0,35,0,0,35
10005389,Ravensbourne University London,0,110,0,0,110
10007802,The University of Reading,15,"1,310",0,0,"1,325"
10005500,Robert Gordon University,0,510,0,0,510
10007776,Roehampton University,0,475,15,0,490
10005523,Rose Bruford College of Theatre and Performance*,0,35,0,0,35
10007835,Royal Academy of Music*,0,85,0,0,85
